dataType,requestType,status,available
carbon-intensity,forecast,200,True
carbon-intensity,actual,401,False
carbon-intensity,latest,200,True
carbon-intensity,history,200,True
carbon-intensity,past,401,False
carbon-intensity,past-range,401,False
carbon-intensity,combined,400,False
power-breakdown,forecast,401,False
power-breakdown,actual,401,False
power-breakdown,latest,200,True
power-breakdown,history,200,True
power-breakdown,past,401,False
power-breakdown,past-range,401,False
power-breakdown,combined,401,False
power-consumption-breakdown,forecast,401,False
power-consumption-breakdown,actual,401,False
power-consumption-breakdown,latest,401,False
power-consumption-breakdown,history,401,False
power-consumption-breakdown,past,401,False
power-consumption-breakdown,past-range,401,False
power-consumption-breakdown,combined,401,False
power-production-breakdown,forecast,401,False
power-production-breakdown,actual,401,False
power-production-breakdown,latest,401,False
power-production-breakdown,history,401,False
power-production-breakdown,past,401,False
power-production-breakdown,past-range,401,False
power-production-breakdown,combined,401,False
day-ahead-price,forecast,401,False
day-ahead-price,actual,401,False
day-ahead-price,latest,401,False
day-ahead-price,history,401,False
day-ahead-price,past,401,False
day-ahead-price,past-range,401,False
day-ahead-price,combined,401,False
renewable-share,forecast,401,False
renewable-share,actual,401,False
renewable-share,latest,401,False
renewable-share,history,401,False
renewable-share,past,401,False
renewable-share,past-range,401,False
renewable-share,combined,401,False
fossil-free-share,forecast,401,False
fossil-free-share,actual,401,False
fossil-free-share,latest,401,False
fossil-free-share,history,401,False
fossil-free-share,past,401,False
fossil-free-share,past-range,401,False
fossil-free-share,combined,401,False
