zone,datetime,carbonIntensity,type,isEstimated
FR,2026-09-04T15:00:00.000Z,22,history,False
FR,2026-09-04T16:00:00.000Z,25,history,False
FR,2026-09-04T17:00:00.000Z,27,history,False
FR,2026-09-04T18:00:00.000Z,26,history,False
FR,2026-09-04T19:00:00.000Z,24,history,False
FR,2026-09-04T20:00:00.000Z,25,history,False
FR,2026-09-04T21:00:00.000Z,24,history,False
FR,2026-09-04T22:00:00.000Z,23,history,False
FR,2026-09-04T23:00:00.000Z,24,history,False
FR,2026-09-05T00:00:00.000Z,22,history,False
FR,2026-09-05T01:00:00.000Z,22,history,False
FR,2026-09-05T02:00:00.000Z,22,history,False
FR,2026-09-05T03:00:00.000Z,21,history,False
FR,2026-09-05T04:00:00.000Z,23,history,False
FR,2026-09-05T05:00:00.000Z,24,history,False
FR,2026-09-05T06:00:00.000Z,22,history,False
FR,2026-09-05T07:00:00.000Z,24,history,False
FR,2026-09-05T08:00:00.000Z,23,history,False
FR,2026-09-05T09:00:00.000Z,22,history,False
FR,2026-09-05T10:00:00.000Z,23,history,False
FR,2026-09-05T11:00:00.000Z,25,history,False
FR,2026-09-05T12:00:00.000Z,26,history,False
FR,2026-09-05T13:00:00.000Z,25,history,True
FR,2026-09-05T14:00:00.000Z,27,history,True
FR,2026-09-05T14:00:00.000Z,25,forecast,
FR,2026-09-05T15:00:00.000Z,25,forecast,
FR,2026-09-05T16:00:00.000Z,28,forecast,
FR,2026-09-05T17:00:00.000Z,33,forecast,
FR,2026-09-05T18:00:00.000Z,35,forecast,
FR,2026-09-05T19:00:00.000Z,34,forecast,
FR,2026-09-05T20:00:00.000Z,33,forecast,
FR,2026-09-05T21:00:00.000Z,32,forecast,
FR,2026-09-05T22:00:00.000Z,31,forecast,
FR,2026-09-05T23:00:00.000Z,26,forecast,
FR,2026-09-06T00:00:00.000Z,22,forecast,
FR,2026-09-06T01:00:00.000Z,23,forecast,
FR,2026-09-06T02:00:00.000Z,23,forecast,
FR,2026-09-06T03:00:00.000Z,22,forecast,
FR,2026-09-06T04:00:00.000Z,21,forecast,
FR,2026-09-06T05:00:00.000Z,21,forecast,
FR,2026-09-06T06:00:00.000Z,22,forecast,
FR,2026-09-06T07:00:00.000Z,23,forecast,
FR,2026-09-06T08:00:00.000Z,22,forecast,
FR,2026-09-06T09:00:00.000Z,24,forecast,
FR,2026-09-06T10:00:00.000Z,24,forecast,
FR,2026-09-06T11:00:00.000Z,24,forecast,
FR,2026-09-06T12:00:00.000Z,25,forecast,
FR,2026-09-06T13:00:00.000Z,25,forecast,
FR,2026-09-06T14:00:00.000Z,23,forecast,
