zone,datetime,carbonIntensity,type
FR,2026-09-04T15:00:00.000Z,22,history
FR,2026-09-04T16:00:00.000Z,25,history
FR,2026-09-04T17:00:00.000Z,27,history
FR,2026-09-04T18:00:00.000Z,26,history
FR,2026-09-04T19:00:00.000Z,24,history
FR,2026-09-04T20:00:00.000Z,25,history
FR,2026-09-04T21:00:00.000Z,24,history
FR,2026-09-04T22:00:00.000Z,23,history
FR,2026-09-04T23:00:00.000Z,24,history
FR,2026-09-05T00:00:00.000Z,22,history
FR,2026-09-05T01:00:00.000Z,22,history
FR,2026-09-05T02:00:00.000Z,22,history
FR,2026-09-05T03:00:00.000Z,21,history
FR,2026-09-05T04:00:00.000Z,23,history
FR,2026-09-05T05:00:00.000Z,24,history
FR,2026-09-05T06:00:00.000Z,22,history
FR,2026-09-05T07:00:00.000Z,24,history
FR,2026-09-05T08:00:00.000Z,23,history
FR,2026-09-05T09:00:00.000Z,22,history
FR,2026-09-05T10:00:00.000Z,23,history
FR,2026-09-05T11:00:00.000Z,25,history
FR,2026-09-05T12:00:00.000Z,26,history
FR,2026-09-05T13:00:00.000Z,25,history
FR,2026-09-05T14:00:00.000Z,26,history
FR,2026-09-05T14:00:00.000Z,25,forecast
FR,2026-09-05T15:00:00.000Z,25,forecast
FR,2026-09-05T16:00:00.000Z,28,forecast
FR,2026-09-05T17:00:00.000Z,33,forecast
FR,2026-09-05T18:00:00.000Z,35,forecast
FR,2026-09-05T19:00:00.000Z,34,forecast
FR,2026-09-05T20:00:00.000Z,33,forecast
FR,2026-09-05T21:00:00.000Z,32,forecast
FR,2026-09-05T22:00:00.000Z,31,forecast
FR,2026-09-05T23:00:00.000Z,26,forecast
FR,2026-09-06T00:00:00.000Z,22,forecast
FR,2026-09-06T01:00:00.000Z,23,forecast
FR,2026-09-06T02:00:00.000Z,23,forecast
FR,2026-09-06T03:00:00.000Z,22,forecast
FR,2026-09-06T04:00:00.000Z,21,forecast
FR,2026-09-06T05:00:00.000Z,21,forecast
FR,2026-09-06T06:00:00.000Z,22,forecast
FR,2026-09-06T07:00:00.000Z,23,forecast
FR,2026-09-06T08:00:00.000Z,22,forecast
FR,2026-09-06T09:00:00.000Z,24,forecast
FR,2026-09-06T10:00:00.000Z,24,forecast
FR,2026-09-06T11:00:00.000Z,24,forecast
FR,2026-09-06T12:00:00.000Z,25,forecast
FR,2026-09-06T13:00:00.000Z,25,forecast
FR,2026-09-06T14:00:00.000Z,23,forecast
DE,2026-09-04T15:00:00.000Z,127,history
DE,2026-09-04T16:00:00.000Z,153,history
DE,2026-09-04T17:00:00.000Z,188,history
DE,2026-09-04T18:00:00.000Z,204,history
DE,2026-09-04T19:00:00.000Z,203,history
DE,2026-09-04T20:00:00.000Z,205,history
DE,2026-09-04T21:00:00.000Z,215,history
DE,2026-09-04T22:00:00.000Z,228,history
DE,2026-09-04T23:00:00.000Z,235,history
DE,2026-09-05T00:00:00.000Z,240,history
DE,2026-09-05T01:00:00.000Z,238,history
DE,2026-09-05T02:00:00.000Z,228,history
DE,2026-09-05T03:00:00.000Z,225,history
DE,2026-09-05T04:00:00.000Z,215,history
DE,2026-09-05T05:00:00.000Z,214,history
DE,2026-09-05T06:00:00.000Z,197,history
DE,2026-09-05T07:00:00.000Z,162,history
DE,2026-09-05T08:00:00.000Z,134,history
DE,2026-09-05T09:00:00.000Z,124,history
DE,2026-09-05T10:00:00.000Z,123,history
DE,2026-09-05T11:00:00.000Z,122,history
DE,2026-09-05T12:00:00.000Z,119,history
DE,2026-09-05T13:00:00.000Z,122,history
DE,2026-09-05T14:00:00.000Z,140,history
DE,2026-09-05T14:00:00.000Z,95,forecast
DE,2026-09-05T15:00:00.000Z,112,forecast
DE,2026-09-05T16:00:00.000Z,151,forecast
DE,2026-09-05T17:00:00.000Z,198,forecast
DE,2026-09-05T18:00:00.000Z,211,forecast
DE,2026-09-05T19:00:00.000Z,224,forecast
DE,2026-09-05T20:00:00.000Z,232,forecast
DE,2026-09-05T21:00:00.000Z,236,forecast
DE,2026-09-05T22:00:00.000Z,238,forecast
DE,2026-09-05T23:00:00.000Z,243,forecast
DE,2026-09-06T00:00:00.000Z,246,forecast
DE,2026-09-06T01:00:00.000Z,256,forecast
DE,2026-09-06T02:00:00.000Z,264,forecast
DE,2026-09-06T03:00:00.000Z,275,forecast
DE,2026-09-06T04:00:00.000Z,296,forecast
DE,2026-09-06T05:00:00.000Z,282,forecast
DE,2026-09-06T06:00:00.000Z,224,forecast
DE,2026-09-06T07:00:00.000Z,159,forecast
DE,2026-09-06T08:00:00.000Z,132,forecast
DE,2026-09-06T09:00:00.000Z,128,forecast
DE,2026-09-06T10:00:00.000Z,128,forecast
DE,2026-09-06T11:00:00.000Z,127,forecast
DE,2026-09-06T12:00:00.000Z,129,forecast
DE,2026-09-06T13:00:00.000Z,141,forecast
DE,2026-09-06T14:00:00.000Z,169,forecast
PL,2026-09-04T15:00:00.000Z,532,history
PL,2026-09-04T16:00:00.000Z,546,history
PL,2026-09-04T17:00:00.000Z,556,history
PL,2026-09-04T18:00:00.000Z,553,history
PL,2026-09-04T19:00:00.000Z,561,history
PL,2026-09-04T20:00:00.000Z,563,history
PL,2026-09-04T21:00:00.000Z,533,history
PL,2026-09-04T22:00:00.000Z,470,history
PL,2026-09-04T23:00:00.000Z,445,history
PL,2026-09-05T00:00:00.000Z,439,history
PL,2026-09-05T01:00:00.000Z,430,history
PL,2026-09-05T02:00:00.000Z,449,history
PL,2026-09-05T03:00:00.000Z,426,history
PL,2026-09-05T04:00:00.000Z,417,history
PL,2026-09-05T05:00:00.000Z,388,history
PL,2026-09-05T06:00:00.000Z,344,history
PL,2026-09-05T07:00:00.000Z,375,history
PL,2026-09-05T08:00:00.000Z,341,history
PL,2026-09-05T09:00:00.000Z,332,history
PL,2026-09-05T10:00:00.000Z,336,history
PL,2026-09-05T11:00:00.000Z,329,history
PL,2026-09-05T12:00:00.000Z,344,history
PL,2026-09-05T13:00:00.000Z,352,history
PL,2026-09-05T14:00:00.000Z,368,history
