zone,datetime,value,unit,source
DK-DK2,2026-09-05T15:00:00.000Z,3.53,EUR/MWh,nordpool.com
DK-DK2,2026-09-05T16:00:00.000Z,21.61,EUR/MWh,nordpool.com
DK-DK2,2026-09-05T17:00:00.000Z,71.15,EUR/MWh,nordpool.com
DK-DK2,2026-09-05T18:00:00.000Z,88.16,EUR/MWh,nordpool.com
DK-DK2,2026-09-05T19:00:00.000Z,78.71,EUR/MWh,nordpool.com
DK-DK2,2026-09-05T20:00:00.000Z,79.42,EUR/MWh,nordpool.com
DK-DK2,2026-09-05T21:00:00.000Z,74.66,EUR/MWh,nordpool.com
DK-DK2,2026-09-05T22:00:00.000Z,93.54,EUR/MWh,nordpool.com
DK-DK2,2026-09-05T23:00:00.000Z,83.35,EUR/MWh,nordpool.com
DK-DK2,2026-09-06T00:00:00.000Z,87.2,EUR/MWh,nordpool.com
DK-DK2,2026-09-06T01:00:00.000Z,97.9,EUR/MWh,nordpool.com
DK-DK2,2026-09-06T02:00:00.000Z,115.12,EUR/MWh,nordpool.com
DK-DK2,2026-09-06T03:00:00.000Z,134.84,EUR/MWh,nordpool.com
DK-DK2,2026-09-06T04:00:00.000Z,138.86,EUR/MWh,nordpool.com
DK-DK2,2026-09-06T05:00:00.000Z,130.25,EUR/MWh,nordpool.com
DK-DK2,2026-09-06T06:00:00.000Z,103.97,EUR/MWh,nordpool.com
DK-DK2,2026-09-06T07:00:00.000Z,35.89,EUR/MWh,nordpool.com
DK-DK2,2026-09-06T08:00:00.000Z,2.02,EUR/MWh,nordpool.com
DK-DK2,2026-09-06T09:00:00.000Z,0.34,EUR/MWh,nordpool.com
DK-DK2,2026-09-06T10:00:00.000Z,1,EUR/MWh,nordpool.com
DK-DK2,2026-09-06T11:00:00.000Z,1.43,EUR/MWh,nordpool.com
DK-DK2,2026-09-06T12:00:00.000Z,1.33,EUR/MWh,nordpool.com
DK-DK2,2026-09-06T13:00:00.000Z,1.72,EUR/MWh,nordpool.com
DK-DK2,2026-09-06T14:00:00.000Z,21.33,EUR/MWh,nordpool.com
DK-DK2,2026-09-06T15:00:00.000Z,122.75,EUR/MWh,nordpool.com
FR,2026-09-05T15:00:00.000Z,75.89,EUR/MWh,nordpool.com
FR,2026-09-05T16:00:00.000Z,151.5,EUR/MWh,nordpool.com
FR,2026-09-05T17:00:00.000Z,185.39,EUR/MWh,nordpool.com
FR,2026-09-05T18:00:00.000Z,180.75,EUR/MWh,nordpool.com
FR,2026-09-05T19:00:00.000Z,181.21,EUR/MWh,nordpool.com
FR,2026-09-05T20:00:00.000Z,178.23,EUR/MWh,nordpool.com
FR,2026-09-05T21:00:00.000Z,164.77,EUR/MWh,nordpool.com
FR,2026-09-05T22:00:00.000Z,166.65,EUR/MWh,nordpool.com
FR,2026-09-05T23:00:00.000Z,163.99,EUR/MWh,nordpool.com
FR,2026-09-06T00:00:00.000Z,160.36,EUR/MWh,nordpool.com
FR,2026-09-06T01:00:00.000Z,151.8,EUR/MWh,nordpool.com
FR,2026-09-06T02:00:00.000Z,146.48,EUR/MWh,nordpool.com
FR,2026-09-06T03:00:00.000Z,147.04,EUR/MWh,nordpool.com
FR,2026-09-06T04:00:00.000Z,148.42,EUR/MWh,nordpool.com
FR,2026-09-06T05:00:00.000Z,135.28,EUR/MWh,nordpool.com
FR,2026-09-06T06:00:00.000Z,112.76,EUR/MWh,nordpool.com
FR,2026-09-06T07:00:00.000Z,39.6,EUR/MWh,nordpool.com
FR,2026-09-06T08:00:00.000Z,0.53,EUR/MWh,nordpool.com
FR,2026-09-06T09:00:00.000Z,0,EUR/MWh,nordpool.com
FR,2026-09-06T10:00:00.000Z,-0.01,EUR/MWh,nordpool.com
FR,2026-09-06T11:00:00.000Z,-0.05,EUR/MWh,nordpool.com
FR,2026-09-06T12:00:00.000Z,-0.09,EUR/MWh,nordpool.com
FR,2026-09-06T13:00:00.000Z,0,EUR/MWh,nordpool.com
FR,2026-09-06T14:00:00.000Z,19.95,EUR/MWh,nordpool.com
FR,2026-09-06T15:00:00.000Z,116.59,EUR/MWh,nordpool.com
DE,2026-09-05T15:00:00.000Z,-0.03,EUR/MWh,nordpool.com
DE,2026-09-05T16:00:00.000Z,39.13,EUR/MWh,nordpool.com
DE,2026-09-05T17:00:00.000Z,102.74,EUR/MWh,nordpool.com
DE,2026-09-05T18:00:00.000Z,115.99,EUR/MWh,nordpool.com
DE,2026-09-05T19:00:00.000Z,109.9,EUR/MWh,nordpool.com
DE,2026-09-05T20:00:00.000Z,107.85,EUR/MWh,nordpool.com
DE,2026-09-05T21:00:00.000Z,100.96,EUR/MWh,nordpool.com
DE,2026-09-05T22:00:00.000Z,128.23,EUR/MWh,nordpool.com
DE,2026-09-05T23:00:00.000Z,126.34,EUR/MWh,nordpool.com
DE,2026-09-06T00:00:00.000Z,135.44,EUR/MWh,nordpool.com
DE,2026-09-06T01:00:00.000Z,135.48,EUR/MWh,nordpool.com
DE,2026-09-06T02:00:00.000Z,141.53,EUR/MWh,nordpool.com
