zone,datetime,source,consumption_MW,production_MW,renewablePercentage,fossilFreePercentage
FR,2026-09-05T14:00:00.000Z,battery discharge,0,-127,40,99
FR,2026-09-05T14:00:00.000Z,biomass,895,1015,40,99
FR,2026-09-05T14:00:00.000Z,coal,46,0,40,99
FR,2026-09-05T14:00:00.000Z,gas,480,515,40,99
FR,2026-09-05T14:00:00.000Z,geothermal,0,,40,99
FR,2026-09-05T14:00:00.000Z,hydro,1576,1885,40,99
FR,2026-09-05T14:00:00.000Z,hydro discharge,0,-1141,40,99
FR,2026-09-05T14:00:00.000Z,nuclear,25522,30711,40,99
FR,2026-09-05T14:00:00.000Z,oil,33,36,40,99
FR,2026-09-05T14:00:00.000Z,solar,13558,15661,40,99
FR,2026-09-05T14:00:00.000Z,unknown,23,,40,99
FR,2026-09-05T14:00:00.000Z,wind,1365,1234,40,99
DE,2026-09-05T14:00:00.000Z,battery discharge,0,,89,89
DE,2026-09-05T14:00:00.000Z,biomass,3371,4272,89,89
DE,2026-09-05T14:00:00.000Z,coal,4139,5247,89,89
DE,2026-09-05T14:00:00.000Z,gas,1704,2160,89,89
DE,2026-09-05T14:00:00.000Z,geothermal,15,19,89,89
DE,2026-09-05T14:00:00.000Z,hydro,839,1064,89,89
DE,2026-09-05T14:00:00.000Z,hydro discharge,0,-4047,89,89
DE,2026-09-05T14:00:00.000Z,nuclear,0,,89,89
DE,2026-09-05T14:00:00.000Z,oil,276,350,89,89
DE,2026-09-05T14:00:00.000Z,solar,22499,28507,89,89
DE,2026-09-05T14:00:00.000Z,unknown,185,234,89,89
DE,2026-09-05T14:00:00.000Z,wind,22232,28181,89,89
PL,2026-09-05T14:00:00.000Z,battery discharge,0,,64,64
PL,2026-09-05T14:00:00.000Z,biomass,279,267,64,64
PL,2026-09-05T14:00:00.000Z,coal,4749,5393,64,64
PL,2026-09-05T14:00:00.000Z,gas,1010,1134,64,64
PL,2026-09-05T14:00:00.000Z,geothermal,0,,64,64
PL,2026-09-05T14:00:00.000Z,hydro,79,77,64,64
PL,2026-09-05T14:00:00.000Z,hydro discharge,23,21,64,64
PL,2026-09-05T14:00:00.000Z,nuclear,0,,64,64
PL,2026-09-05T14:00:00.000Z,oil,138,154,64,64
PL,2026-09-05T14:00:00.000Z,solar,6548,7159,64,64
PL,2026-09-05T14:00:00.000Z,unknown,503,574,64,64
PL,2026-09-05T14:00:00.000Z,wind,4534,4836,64,64
ES,2026-09-05T14:00:00.000Z,battery discharge,0,-12,70,88
ES,2026-09-05T14:00:00.000Z,biomass,583,630,70,88
ES,2026-09-05T14:00:00.000Z,coal,23,24,70,88
ES,2026-09-05T14:00:00.000Z,gas,3695,4235,70,88
ES,2026-09-05T14:00:00.000Z,geothermal,0,0,70,88
ES,2026-09-05T14:00:00.000Z,hydro,869,928,70,88
ES,2026-09-05T14:00:00.000Z,hydro discharge,0,-983,70,88
ES,2026-09-05T14:00:00.000Z,nuclear,5730,5419,70,88
ES,2026-09-05T14:00:00.000Z,oil,16,17,70,88
ES,2026-09-05T14:00:00.000Z,solar,15795,17572,70,88
ES,2026-09-05T14:00:00.000Z,unknown,60,68,70,88
ES,2026-09-05T14:00:00.000Z,wind,5243,5978,70,88
GB,2026-09-05T14:00:00.000Z,battery discharge,0,0,66,83
GB,2026-09-05T14:00:00.000Z,biomass,2511,2635,66,83
GB,2026-09-05T14:00:00.000Z,coal,37,0,66,83
GB,2026-09-05T14:00:00.000Z,gas,3790,4087,66,83
GB,2026-09-05T14:00:00.000Z,geothermal,0,,66,83
GB,2026-09-05T14:00:00.000Z,hydro,148,97,66,83
GB,2026-09-05T14:00:00.000Z,hydro discharge,0,-1004,66,83
GB,2026-09-05T14:00:00.000Z,nuclear,5393,4971,66,83
GB,2026-09-05T14:00:00.000Z,oil,3,,66,83
GB,2026-09-05T14:00:00.000Z,solar,5189,4460,66,83
GB,2026-09-05T14:00:00.000Z,unknown,1783,1961,66,83
GB,2026-09-05T14:00:00.000Z,wind,13920,14739,66,83
IT-NO,2026-09-05T14:00:00.000Z,battery discharge,0,-494,60,74
IT-NO,2026-09-05T14:00:00.000Z,biomass,299,197,60,74
IT-NO,2026-09-05T14:00:00.000Z,coal,76,0,60,74
IT-NO,2026-09-05T14:00:00.000Z,gas,3017,3304,60,74
IT-NO,2026-09-05T14:00:00.000Z,geothermal,1,,60,74
IT-NO,2026-09-05T14:00:00.000Z,hydro,2943,1946,60,74
IT-NO,2026-09-05T14:00:00.000Z,hydro discharge,7,-1490,60,74
IT-NO,2026-09-05T14:00:00.000Z,nuclear,2300,,60,74
IT-NO,2026-09-05T14:00:00.000Z,oil,44,43,60,74
IT-NO,2026-09-05T14:00:00.000Z,solar,5638,4294,60,74
IT-NO,2026-09-05T14:00:00.000Z,unknown,1045,1092,60,74
IT-NO,2026-09-05T14:00:00.000Z,wind,550,25,60,74
US-MIDA-PJM,2026-09-05T14:00:00.000Z,battery discharge,1,1,6,40
US-MIDA-PJM,2026-09-05T14:00:00.000Z,biomass,0,,6,40
US-MIDA-PJM,2026-09-05T14:00:00.000Z,coal,13671,14936,6,40
US-MIDA-PJM,2026-09-05T14:00:00.000Z,gas,35699,39069,6,40
US-MIDA-PJM,2026-09-05T14:00:00.000Z,geothermal,0,,6,40
US-MIDA-PJM,2026-09-05T14:00:00.000Z,hydro,1023,1096,6,40
US-MIDA-PJM,2026-09-05T14:00:00.000Z,hydro discharge,0,,6,40
US-MIDA-PJM,2026-09-05T14:00:00.000Z,nuclear,29181,31939,6,40
US-MIDA-PJM,2026-09-05T14:00:00.000Z,oil,0,0,6,40
US-MIDA-PJM,2026-09-05T14:00:00.000Z,solar,4169,4558,6,40
US-MIDA-PJM,2026-09-05T14:00:00.000Z,unknown,2558,2812,6,40
US-MIDA-PJM,2026-09-05T14:00:00.000Z,wind,0,0,6,40
AU-NSW,2026-09-05T14:00:00.000Z,battery discharge,392,406,36,36
AU-NSW,2026-09-05T14:00:00.000Z,biomass,45,47,36,36
AU-NSW,2026-09-05T14:00:00.000Z,coal,4225,4064,36,36
AU-NSW,2026-09-05T14:00:00.000Z,gas,48,50,36,36
AU-NSW,2026-09-05T14:00:00.000Z,geothermal,0,,36,36
AU-NSW,2026-09-05T14:00:00.000Z,hydro,72,71,36,36
AU-NSW,2026-09-05T14:00:00.000Z,hydro discharge,0,0,36,36
AU-NSW,2026-09-05T14:00:00.000Z,nuclear,0,,36,36
AU-NSW,2026-09-05T14:00:00.000Z,oil,0,0,36,36
AU-NSW,2026-09-05T14:00:00.000Z,solar,0,0,36,36
AU-NSW,2026-09-05T14:00:00.000Z,unknown,0,,36,36
AU-NSW,2026-09-05T14:00:00.000Z,wind,2260,1909,36,36
IN-WE,2026-09-05T14:00:00.000Z,battery discharge,0,,19,21
IN-WE,2026-09-05T14:00:00.000Z,biomass,0,,19,21
IN-WE,2026-09-05T14:00:00.000Z,coal,61088,61088,19,21
IN-WE,2026-09-05T14:00:00.000Z,gas,4615,4615,19,21
IN-WE,2026-09-05T14:00:00.000Z,geothermal,0,,19,21
IN-WE,2026-09-05T14:00:00.000Z,hydro,5411,5411,19,21
IN-WE,2026-09-05T14:00:00.000Z,hydro discharge,0,,19,21
IN-WE,2026-09-05T14:00:00.000Z,nuclear,2249,2249,19,21
IN-WE,2026-09-05T14:00:00.000Z,oil,0,,19,21
IN-WE,2026-09-05T14:00:00.000Z,solar,0,0,19,21
IN-WE,2026-09-05T14:00:00.000Z,unknown,153,153,19,21
IN-WE,2026-09-05T14:00:00.000Z,wind,9979,9979,19,21
