zone,datetime,value,unit,source,temporalGranularity
DK-DK1,2026-09-05T15:15:00.000Z,-0.01,EUR/MWh,nordpool.com,
DK-DK1,2026-09-05T15:30:00.000Z,-0.01,EUR/MWh,nordpool.com,
DK-DK1,2026-09-05T15:45:00.000Z,0,EUR/MWh,nordpool.com,
DK-DK1,2026-09-05T16:00:00.000Z,-0.21,EUR/MWh,nordpool.com,
DK-DK1,2026-09-05T16:15:00.000Z,-0.01,EUR/MWh,nordpool.com,
DK-DK1,2026-09-05T16:30:00.000Z,8.47,EUR/MWh,nordpool.com,
DK-DK1,2026-09-05T16:45:00.000Z,43.74,EUR/MWh,nordpool.com,
DK-DK1,2026-09-05T17:00:00.000Z,57.89,EUR/MWh,nordpool.com,
DK-DK1,2026-09-05T17:15:00.000Z,74.6,EUR/MWh,nordpool.com,
DK-DK1,2026-09-05T17:30:00.000Z,72.53,EUR/MWh,nordpool.com,
DK-DK1,2026-09-05T17:45:00.000Z,74.5,EUR/MWh,nordpool.com,
DK-DK1,2026-09-05T18:00:00.000Z,87.03,EUR/MWh,nordpool.com,
DK-DK1,2026-09-05T18:15:00.000Z,86.74,EUR/MWh,nordpool.com,
DK-DK1,2026-09-05T18:30:00.000Z,87.3,EUR/MWh,nordpool.com,
DK-DK1,2026-09-05T18:45:00.000Z,85.28,EUR/MWh,nordpool.com,
DK-DK1,2026-09-05T19:00:00.000Z,79.23,EUR/MWh,nordpool.com,
DK-DK1,2026-09-05T19:15:00.000Z,78.61,EUR/MWh,nordpool.com,
DK-DK1,2026-09-05T19:30:00.000Z,75.07,EUR/MWh,nordpool.com,
DK-DK1,2026-09-05T19:45:00.000Z,76.29,EUR/MWh,nordpool.com,
DK-DK1,2026-09-05T20:00:00.000Z,81.78,EUR/MWh,nordpool.com,
DK-DK1,2026-09-05T20:15:00.000Z,79.4,EUR/MWh,nordpool.com,
DK-DK1,2026-09-05T20:30:00.000Z,76.43,EUR/MWh,nordpool.com,
DK-DK1,2026-09-05T20:45:00.000Z,74.4,EUR/MWh,nordpool.com,
DK-DK1,2026-09-05T21:00:00.000Z,71.15,EUR/MWh,nordpool.com,
DK-DK1,2026-09-05T21:15:00.000Z,73.1,EUR/MWh,nordpool.com,
DK-DK1,2026-09-05T21:30:00.000Z,76.28,EUR/MWh,nordpool.com,
