zone,datetime,value,unit,source,temporalGranularity
DK-DK1,2026-09-05T15:10:00.000Z,6.09,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T15:15:00.000Z,1.21,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T15:20:00.000Z,1.21,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T15:25:00.000Z,1.21,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T15:30:00.000Z,23.83,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T15:35:00.000Z,23.83,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T15:40:00.000Z,23.83,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T15:45:00.000Z,57.15,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T15:50:00.000Z,57.15,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T15:55:00.000Z,57.15,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T16:00:00.000Z,64.86,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T16:05:00.000Z,64.86,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T16:10:00.000Z,64.86,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T16:15:00.000Z,76.58,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T16:20:00.000Z,76.58,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T16:25:00.000Z,76.58,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T16:30:00.000Z,92.26,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T16:35:00.000Z,92.26,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T16:40:00.000Z,92.26,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T16:45:00.000Z,96.77,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T16:50:00.000Z,96.77,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T16:55:00.000Z,96.77,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T17:00:00.000Z,98.69,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T17:05:00.000Z,98.69,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T17:10:00.000Z,98.69,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T17:15:00.000Z,102.16,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T17:20:00.000Z,102.16,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T17:25:00.000Z,102.16,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T17:30:00.000Z,99.89,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T17:35:00.000Z,99.89,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T17:40:00.000Z,99.89,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T17:45:00.000Z,102.96,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T17:50:00.000Z,102.96,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T17:55:00.000Z,102.96,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T18:00:00.000Z,104.63,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T18:05:00.000Z,104.63,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T18:10:00.000Z,104.63,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T18:15:00.000Z,102.96,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T18:20:00.000Z,102.96,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T18:25:00.000Z,102.96,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T18:30:00.000Z,102.65,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T18:35:00.000Z,102.65,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T18:40:00.000Z,102.65,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T18:45:00.000Z,102.25,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T18:50:00.000Z,102.25,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T18:55:00.000Z,102.25,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T19:00:00.000Z,103.86,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T19:05:00.000Z,103.86,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T19:10:00.000Z,103.86,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T19:15:00.000Z,108.51,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T19:20:00.000Z,108.51,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T19:25:00.000Z,108.51,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T19:30:00.000Z,102.37,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T19:35:00.000Z,102.37,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T19:40:00.000Z,102.37,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T19:45:00.000Z,99.5,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T19:50:00.000Z,99.5,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T19:55:00.000Z,99.5,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T20:00:00.000Z,113.17,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T20:05:00.000Z,113.17,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T20:10:00.000Z,113.17,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T20:15:00.000Z,97.45,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T20:20:00.000Z,97.45,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T20:25:00.000Z,97.45,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T20:30:00.000Z,98.81,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T20:35:00.000Z,98.81,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T20:40:00.000Z,98.81,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T20:45:00.000Z,100.8,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T20:50:00.000Z,100.8,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T20:55:00.000Z,100.8,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T21:00:00.000Z,92.67,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T21:05:00.000Z,92.67,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T21:10:00.000Z,92.67,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T21:15:00.000Z,91.62,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T21:20:00.000Z,91.62,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T21:25:00.000Z,91.62,EUR/MWh,Electricity Maps Forecast,
DK-DK1,2026-09-05T21:30:00.000Z,87.93,EUR/MWh,Electricity Maps Forecast,
